"Mineral Name","Mineral Name (plain)","IMA Chemistry (plain)","IMA Mineral Symbol"
"Sarabauite","Sarabauite","Sb4S6·CaSb6O10","Sbu"
"Saranchinaite","Saranchinaite","Na2Cu(SO4)2","Src"
"Saranovskite","Saranovskite","SrCaFe2+ 2(Cr4Ti2)Ti12O38","Svs"
"Sarcolite","Sarcolite","Na4Ca12Al8Si12O46(SiO4,PO4)(OH,H2O)4(CO3,Cl)","Sco"
"Sarcopside","Sarcopside","Fe2+3(PO4)2","Sar"
"Sardignaite","Sardignaite","BiMo2O7(OH)·2H2O","Sdi"
"Sarkinite","Sarkinite","Mn2+2(AsO4)(OH)","Srk"
"Sarmientite","Sarmientite","Fe3+2(AsO4)(SO4)(OH)·5H2O","Smi"
"Sarrabusite","Sarrabusite","Pb5CuCl4(SeO3)4","Sbs"
"Sartorite","Sartorite","PbAs2S4","Sat"
"Saryarkite-(Y)","Saryarkite-(Y)","Ca(Y,Th)Al5(SiO4)2(PO4)2(OH)7·6H2O","Syk-Y"
"Sasaite","Sasaite","Al6(PO4)5(OH)3·36H2O","Sas"
"Sassolite","Sassolite","B(OH)3","Sso"
"Satimolite","Satimolite","KNa2(Al5Mg2)[B12O18(OH)12](OH)6Cl4·4H2O","Sati"
"Satpaevite","Satpaevite","Al12(V4+,V5+)8O37·30H2O (?)","Spv"
"Satterlyite","Satterlyite","(Fe2+,Mg,Fe3+)12(PO3OH)(PO4)5(OH,O)6","Sly"
"Sauconite","Sauconite","Na0.3Zn3(Si,Al)4O10(OH)2·4H2O","Sau"
"Savelievaite","Savelievaite","Mg2Cr3+O2(BO3)","Svlv"
"Sayrite","Sayrite","Pb2(UO2)5O6(OH)2·4H2O","Syr"
"Sazhinite-(Ce)","Sazhinite-(Ce)","Na3CeSi6O15·2H2O","Szi-Ce"
"Sazhinite-(La)","Sazhinite-(La)","Na3LaSi6O15·2H2O","Szi-La"
"Sazykinaite-(Y)","Sazykinaite-(Y)","Na5YZrSi6O18·6H2O","Szn-Y"
"Sbacchiite","Sbacchiite","Ca2AlF7","Scc"
"Sborgite","Sborgite","NaB5O6(OH)4·3H2O","Srg"
"Scacchite","Scacchite","MnCl2","Sca"
"Scainiite","Scainiite","Pb14Sb30S54O5","Scn"
"Scandiobabingtonite","Scandiobabingtonite","(Ca,Na)2(Fe2+,Mn)(Sc,Fe3+)Si5O14(OH)","Sbab"
"Scarbroite","Scarbroite","Al5(CO3)(OH)13·5H2O","Scr"
"Scawtite","Scawtite","Ca7(Si3O9)2(CO3)·2H2O","Scw"
"Scenicite","Scenicite","[(UO2)(H2O)2(SO4)]2·3H2O","Sce"
"Schachnerite","Schachnerite","Ag1.1Hg0.9","Shn"
"Schafarzikite","Schafarzikite","Fe2+(Sb3+)2O4","Sfz"
"Schäferite","Schaferite","(NaCa2)Mg2(VO4)3","Sfr"
"Schairerite","Schairerite","Na21(SO4)7ClF6","Shr"
"Schallerite","Schallerite","Mn2+16As3+3Si12O36(OH)17","Slr"
"Schapbachite","Schapbachite","Ag0.4Pb0.2Bi0.4S","Spb"
"Schaurteite","Schaurteite","Ca3Ge(SO4)2(OH)6·3H2O","Sht"
"Scheelite","Scheelite","Ca(WO4)","Sch"
"Schertelite","Schertelite","(NH4)2Mg(PO3OH)2·4H2O","She"
"Scheuchzerite","Scheuchzerite","NaMn2+9Si9V5+O28(OH)4","Shz"
"Schiavinatoite","Schiavinatoite","Nb(BO4)","Shv"
"Schieffelinite","Schieffelinite","Pb10Te6+6O20(OH)14(SO4)(H2O)5","Sfl"
"Schindlerite","Schindlerite","{(NH4)4Na2(H2O)10}{V10O28}","Shi"
"Schizolite","Schizolite","NaCaMnSi3O8(OH)","Szl"
"Schlegelite","Schlegelite","Bi7O4(MoO4)2(AsO4)3","Scg"
"Schlemaite","Schlemaite","(Cu,[box])6(Pb,Bi)Se4","Slm"
"Schlossmacherite","Schlossmacherite","(H3O)Al3(SO4)2(OH)6","Ssm"
"Schlüterite-(Y)","Schluterite-(Y)","(Y,REE)2AlSi2O7(OH)2F","Slü-Y"
"Schmidite","Schmidite","Zn(Fe3+0.5Mn2+0.5)2ZnFe3+(PO4)3(OH)3(H2O)8","Smd"
"Schmiederite","Schmiederite","Cu2Pb2(Se4+O3)(Se6+O4)(OH)4","Scm"
"Schmitterite","Schmitterite","(UO2)(Te4+O3)","Sci"
"Schneebergite","Schneebergite","BiCo2(AsO4)2(OH)·H2O","Snb"
"Schneiderhöhnite","Schneiderhohnite","Fe2+Fe3+3As3+5O13","Snh"
"Schoderite","Schoderite","Al2(PO4)(VO4)·8H2O","Sde"
"Schoenfliesite","Schoenfliesite","MgSn(OH)6","Sfs"
"Schoepite","Schoepite","(UO2)4O(OH)6(H2O)6","Sho"
"Schöllhornite","Schollhornite","Na0.3CrS2·H2O","Slh"
"Scholzite","Scholzite","CaZn2(PO4)2·2H2O","Slz"
"Schoonerite","Schoonerite","ZnMn2+Fe2+2Fe3+(PO4)3(OH)2(H2O)7·2H2O","Soo"
"Schorl","Schorl","NaFe2+3Al6(Si6O18)(BO3)3(OH)3(OH)","Srl"
"Schorlomite","Schorlomite","Ca3Ti2(SiFe3+2)O12","Slo"
"Schreibersite","Schreibersite","(Fe,Ni)3P","Scb"
"Schreyerite","Schreyerite","V3+2Ti4+3O9","Sry"
"Schröckingerite","Schrockingerite","NaCa3(UO2)(SO4)(CO3)3F·10H2O","Srö"
"Schubnelite","Schubnelite","Fe3+(V5+O4)·H2O","Shb"
"Schuetteite","Schuetteite","Hg3O2(SO4)","Sh"
"Schuilingite-(Nd)","Schuilingite-(Nd)","CuPbNd(CO3)3(OH)·1.5H2O","Shg-Nd"
"Schulenbergite","Schulenbergite","(Cu,Zn)7(SO4)2(OH)10·3H2O","Slb"
"Schüllerite","Schullerite","Ba2Ti2Na2Mg2(Si2O7)2O2F2","Shü"
"Schultenite","Schultenite","Pb(AsO3OH)","Slt"
"Schumacherite","Schumacherite","Bi3O(VO4)2(OH)","Shh"
"Schwartzembergite","Schwartzembergite","Pb2+5H2I3+O6Cl3","Swb"
"Schwertmannite","Schwertmannite","Fe3+16O16(OH)9.6(SO4)3.2·10H2O","Swm"
"Sclarite","Sclarite","Zn7(CO3)2(OH)10","Sl"
"Scolecite","Scolecite","Ca(Si3Al2)O10·3H2O","Slc"
"Scordariite","Scordariite","K8(Fe3+0.67[box]0.33)[Fe3+3O(SO4)6(H2O)3]2·11H2O","Sda"
"Scorodite","Scorodite","Fe3+(AsO4)·2H2O","Scd"
"Scorticoite","Scorticoite","Mn6(Sb[box])(SiO4)2O3(OH)3","Srt"
"Scorzalite","Scorzalite","Fe2+Al2(PO4)2(OH)2","Scz"
"Scotlandite","Scotlandite","Pb(S4+O3)","Sct"
"Scottyite","Scottyite","BaCu2Si2O7","Sty"
"Scrutinyite","Scrutinyite","PbO2","Sny"
"Seaborgite","Seaborgite","LiK2Na6(UO2)(SO4)5(SO3OH)(H2O)","Sea"
"Seamanite","Seamanite","Mn2+3B(OH)4(PO4)(OH)2","Sem"
"Searlesite","Searlesite","NaBSi2O5(OH)2","Sle"
"Sederholmite","Sederholmite","NiSe","Sdh"
"Sedovite","Sedovite","U4+(MoO4)2","Sdv"
"Seeligerite","Seeligerite","Pb3(IO4)Cl3","Sli"
"Seelite","Seelite","Mg(UO2)2(AsO3,AsO4)2·7H2O","See"
"Segelerite","Segelerite","CaMgFe3+(PO4)2(OH)·4H2O","Sgl"
"Segerstromite","Segerstromite","Ca3(As5+O4)2[As3+(OH)3]2","Ssr"
"Segnitite","Segnitite","PbFe3+3(AsO4)(AsO3OH)(OH)6","Sgt"
"Seidite-(Ce)","Seidite-(Ce)","Na4(Ce,Sr)2TiSi8O18(O,OH,F)6·5H2O","Sei-Ce"
"Seidozerite","Seidozerite","Na2Zr2Na2MnTi(Si2O7)2O2F2","Sdz"
"Seifertite","Seifertite","SiO2","Sft"
"Seinäjokite","Seinajokite","FeSb2","Sjk"
"Sejkoraite-(Y)","Sejkoraite-(Y)","Y2[(UO2)8O6(SO4)4(OH)2]·26H2O","Sej-Y"
"Sekaninaite","Sekaninaite","Fe2+2Al4Si5O18","Skn"
"Selenium","Selenium","Se","Se"
"Selenojalpaite","Selenojalpaite","Ag3CuSe2","Sjal"
"Selenolaurite","Selenolaurite","RuSe2","Slrt"
"Selenopolybasite","Selenopolybasite","Cu(Ag,Cu)6Ag9Sb2(S,Se)9Se2","Splb"
"Selenostephanite","Selenostephanite","Ag5SbSe4","Ssph"
"Seligmannite","Seligmannite","CuPbAsS3","Seli"
"Selivanovaite","Selivanovaite","NaTi3(Ti,Na,Fe,Mn)4(Si2O7)2O4(OH,H2O)4·nH2O","Svn"
"Sellaite","Sellaite","MgF2","Sel"
"Selwynite","Selwynite","NaKBeZr2(PO4)4·2H2O","Swy"
"Semenovite-(Ce)","Semenovite-(Ce)","(Na,Ca)9Fe2+Ce2(Si,Be)20(O,OH,F)48","Smv-Ce"
"Semseyite","Semseyite","Pb9Sb8S21","Ssy"
"Senaite","Senaite","Pb(Mn,Y,U)(Fe,Zn)2(Ti,Fe,Cr,V)18(O,OH)38","Sna"
"Senarmontite","Senarmontite","Sb2O3","Sen"
"Senegalite","Senegalite","Al2(PO4)(OH)3·H2O","Sng"
"Sengierite","Sengierite","Cu2(UO2)2(VO4)2(OH)2·6H2O","Sgi"
"Senkevichite","Senkevichite","CsNaKCa2TiOSi7O18(OH)","Sev"
"Sepiolite","Sepiolite","Mg4Si6O15(OH)2·6H2O","Sep"
"Serandite","Serandite","NaMn2+2Si3O8(OH)","Srd"
"Serendibite","Serendibite","Ca4[Mg6Al6]O4[Si6B3Al3O36]","Ser"
"Sergeevite","Sergeevite","Ca2Mg11(CO3)9(HCO3)4(OH)4·6H2O","Sge"
"Sergevanite","Sergevanite","Na15(Ca3Mn3)(Na2Fe)Zr3Si26O72(OH)3·H2O","Sgv"
"Sergeysmirnovite","Sergeysmirnovite","MgZn2(PO4)2·4H2O",""
"Serpierite","Serpierite","Ca(Cu,Zn)4(SO4)2(OH)6·3H2O","Spe"
"Serrabrancaite","Serrabrancaite","Mn(PO4)·H2O","Sra"
"Sewardite","Sewardite","CaFe3+2(AsO4)2(OH)2","Sew"
"Shabaite-(Nd)","Shabaite-(Nd)","CaNd2(UO2)(CO3)4(OH)2·6H2O","Sbt-Nd"
"Shabynite","Shabynite","Mg5(BO3)(OH)5Cl2·4H2O","Sby"
"Shadlunite","Shadlunite","(Fe,Cu)8(Pb,Cd)S8","Slu"
"Shafranovskite","Shafranovskite","Na3K2(Mn,Fe,Na)4[Si9(O,OH)27](OH)2·nH2O","Sfn"
"Shagamite","Shagamite","HFe11O17","Sgm"
"Shakhdaraite-(Y)","Shakhdaraite-(Y)","ScYNb2O8","Skd-Y"
"Shakhovite","Shakhovite","Hg1+4Sb5+O3(OH)3","Sk"
"Shandite","Shandite","Ni3Pb2S2","Snd"
"Shannonite","Shannonite","Pb2O(CO3)","Snn"
"Sharpite","Sharpite","Ca(UO2)3(CO3)4·3H2O","Shp"
"Sharyginite","Sharyginite","Ca3TiFe2O8","Syg"
"Shasuite","Shasuite","CaNi3(P2O7)2",""
"Shattuckite","Shattuckite","Cu5(SiO3)4(OH)2","Sha"
"Shcherbakovite","Shcherbakovite","K2NaTi2O(OH)Si4O12","Sbk"
"Shcherbinaite","Shcherbinaite","V2O5","Shc"
"Shchurovskyite","Shchurovskyite","K2CaCu6O2(AsO4)4","Svk"
"Sheldrickite","Sheldrickite","NaCa3(CO3)2F3·H2O","Sdk"
"Shenzhuangite","Shenzhuangite","NiFeS2","Szh"
"Sherwoodite","Sherwoodite","Ca4.5AlV4+2V5+12O40·28H2O","Swd"
"Shibkovite","Shibkovite","K2Ca2(Zn3Si12)O30","Sko"
"Shigaite","Shigaite","Mn6Al3(OH)18[Na(H2O)6](SO4)2·6H2O","Sga"
"Shilovite","Shilovite","Cu(NH3)4(NO3)2","Shil"
"Shimazakiite","Shimazakiite","Ca2B2O5","Smz"
"Shimenite","Shimenite","Tl5Sb21-yAsyS34 (9 ≤ y ≤ 10)","Shmn"
"Shinkolobweite","Shinkolobweite","Pb1.25[U5+(H2O)2(U6+O2)5O8(OH)2](H2O)5","Skw"
"Shirokshinite","Shirokshinite","K(Mg2Na)Si4O10F2","Shk"
"Shirozulite","Shirozulite","KMn2+3(Si3Al)O10(OH)2","Szu"
"Shkatulkalite","Shkatulkalite","Na10MnTi3Nb3(Si2O7)6(OH)2F·12H2O","Skk"
"Shlykovite","Shlykovite","KCa[Si4O9(OH)]·3H2O","Skv"
"Shomiokite-(Y)","Shomiokite-(Y)","Na3Y(CO3)3·3H2O","Shom-Y"
"Shortite","Shortite","Na2Ca2(CO3)3","Sot"
"Shosanbetsuite","Shosanbetsuite","Ag3Sn","Ssb"
"Shuangfengite","Shuangfengite","IrTe2","Sfg"
"Shubnikovite","Shubnikovite","Ca2Cu8(AsO4)6Cl(OH)·7H2O (?)","Snk"
"Shuiskite-(Cr)","Shuiskite-(Cr)","Ca2CrCr2[SiO4][Si2O6(OH)](OH)2O","Sui-Cr"
"Shuiskite-(Mg)","Shuiskite-(Mg)","Ca2MgCr2(Si2O7)(SiO4)(OH)2·H2O","Sui-Mg"
"Shulamitite","Shulamitite","Ca3TiFe3+AlO8","Sla"
"Shumwayite","Shumwayite","[(UO2)(SO4)(H2O)2]2·H2O","Smw"
"Shuvalovite","Shuvalovite","K2(Ca2Na)(SO4)3F","Svv"
"Sibirskite","Sibirskite","CaH(BO3)","Sib"
"Sicherite","Sicherite","TlAg2(As,Sb)3S6","Sic"
"Sicklerite","Sicklerite","LiMn2+(PO4)","Sik"
"Siderazot","Siderazot","Fe3Ni1.33","Saz"
"Siderite","Siderite","Fe(CO3)","Sd"
"Sideronatrite","Sideronatrite","Na2Fe3+(SO4)2(OH)·3H2O","Snat"
"Siderophyllite","Siderophyllite","KFe2+2Al(Si2Al2)O10(OH)2","Sid"
"Siderotil","Siderotil","Fe(SO4)·5H2O","Sdt"
"Sidorenkite","Sidorenkite","Na3Mn(PO4)(CO3)","Sdo"
"Sidpietersite","Sidpietersite","Pb2+4(S2O3)O2(OH)2","Sdp"
"Sidwillite","Sidwillite","MoO3·2H2O","Sdw"
"Siegenite","Siegenite","CoNi2S4","Seg"
"Sieleckiite","Sieleckiite","Cu3Al4(PO4)2(OH)12·2H2O","Sie"
"Sigloite","Sigloite","Fe3+Al2(PO4)2(OH)3·7H2O","Sig"
"Siidraite","Siidraite","Pb2Cu(OH)2I3","Sii"
"Silesiaite","Silesiaite","Ca2Fe3+Sn(Si2O7)(Si2O6OH)","Ssa"
"Silhydrite","Silhydrite","Si3O6·H2O","Shy"
"Silicocarnotite","Silicocarnotite","Ca5[(PO4)(SiO4)](PO4)","Scnt"
"Silicon","Silicon","Si","Si"
"Silinaite","Silinaite","NaLiSi2O5·2H2O","Sln"
"Sillénite","Sillenite","Bi12SiO20","Sén"
"Sillimanite","Sillimanite","Al2SiO5","Sil"
"Silver","Silver","Ag","Ag"
"Silvialite","Silvialite","Ca4Al6Si6O24(SO4)","Slv"
"Simferite","Simferite","Li(Mg,Fe3+,Mn3+)2(PO4)2","Smf"
"Simmonsite","Simmonsite","Na2LiAlF6","Sim"
"Simonellite","Simonellite","C19H24","Sne"
"Simonite","Simonite","TlHgAs3S6","Smo"
"Simonkolleite","Simonkolleite","Zn5(OH)8Cl2·H2O","Skl"
"Simplotite","Simplotite","CaV4+4O9·5H2O","Spo"
"Simpsonite","Simpsonite","Al4Ta3O13(OH)","Spn"
"Sincosite","Sincosite","Ca(VO)2(PO4)2·4H2O","Scs"
"Sinhalite","Sinhalite","MgAl(BO4)","Shl"
"Sinjarite","Sinjarite","CaCl2·2H2O","Snj"
"Sinkankasite","Sinkankasite","Mn2+Al(PO3OH)2(OH)·6H2O","Ska"
"Sinnerite","Sinnerite","Cu6As4S9","Sin"
"Sinoite","Sinoite","Si2N2O","Sno"
"Sitinakite","Sitinakite","KNa2Ti4Si2O13(OH)·4H2O","Sit"
"Siudaite","Siudaite","Na8(Mn2+2Na)Ca6Fe3+3Zr3NbSi25O74(OH)2Cl·5H2O","Siu"
"Siwaqaite","Siwaqaite","Ca6Al2(CrO4)3(OH)12·26H2O","Siw"
"Skaergaardite","Skaergaardite","PdCu","Skg"
"Skinnerite","Skinnerite","Cu3SbS3","Ski"
"Skippenite","Skippenite","Bi2Se2Te","Skp"
"Sklodowskite","Sklodowskite","Mg(UO2)2(SiO3OH)2·6H2O","Sds"
"Skorpionite","Skorpionite","Ca3Zn2(PO4)2(CO3)(OH)2·H2O","Skr"
"Skutterudite","Skutterudite","CoAs3","Skt"
"Slavíkite","Slavikite","(H3O)3Mg6Fe15(SO4)21(OH)18·98H2O","Sví"
"Slavkovite","Slavkovite","Cu13(AsO4)6(AsO3OH)4·23H2O","Sav"
"Slawsonite","Slawsonite","Sr(Al2Si2O8)","Sws"
"Šlikite","Slikite","Zn2Mg(CO3)2(OH)2·4H2O","Šlk"
"Sluzhenikinite","Sluzhenikinite","Pd15(Sb7-xSnx); 3 ≤ x ≤ 4","Szhi"
"Smamite","Smamite","Ca2Sb(OH)4[H(AsO4)2]·6H2O","Smm"
"Smirnite","Smirnite","Bi3+2Te4+O5","Smr"
"Smirnovskite","Smirnovskite","(Th,Ca)(PO4)·nH2O","Snv"
"Smithite","Smithite","AgAsS2","Sth"
"Smithsonite","Smithsonite","Zn(CO3)","Smt"
"Smolyaninovite","Smolyaninovite","Co3Fe3+2(AsO4)4·11H2O","Sya"
"Smrkovecite","Smrkovecite","Bi2O(OH)(PO4)","Skc"
"Smythite","Smythite","(Fe,Ni)3+xS4 (x ≈ 0-0.3)","Syt"
"Sobolevite","Sobolevite","Na6(Na2Ca)(NaCaMn)Na2Ti2Na2(TiMn)(Si2O7)2(PO4)4O2(OF)F2","Sob"
"Sobolevskite","Sobolevskite","PdBi","Sov"
"Sodalite","Sodalite","Na4(Si3Al3)O12Cl","Sdl"
"Soddyite","Soddyite","(UO2)2(SiO4)·2H2O","Sod"
"Sofiite","Sofiite","Zn2(Se4+O3)Cl2","Sof"
"Sogdianite","Sogdianite","KZr2Li3Si12O30","Sog"
"Söhngeite","Sohngeite","Ga(OH)3","Söh"
"Sokolovaite","Sokolovaite","CsLi2AlSi4O10F2","Sok"
"Solongoite","Solongoite","Ca2B3O4(OH)4Cl","Sol"
"Somersetite","Somersetite","Pb8O(OH)4(CO3)5","Sse"
"Sonolite","Sonolite","Mn2+9(SiO4)4(OH)2","Snl"
"Sonoraite","Sonoraite","Fe3+(Te4+O3)(OH)·H2O","Son"
"Sopcheite","Sopcheite","Ag4Pd3Te4","Sop"
"Sorbyite","Sorbyite","Pb9Cu(Sb,As)11S26","Srb"
"Sørensenite","Sorensenite","Na4Be2Sn(Si3O9)2·2H2O","Sør"
"Sorosite","Sorosite","Cu1+x(Sn,Sb)","Sor"
"Sosedkoite","Sosedkoite","K5Al2Ta22O60","Sos"
"Součekite","Soucekite","CuPbBi(S,Se)3","Sče"
"Souzalite","Souzalite","Mg3Al4(PO4)4(OH)6·2H2O","Sou"
"Spadaite","Spadaite","MgSiO2(OH)2·H2O (?)","Spa"
"Spaltiite","Spaltiite","Tl2Cu2As2S5","Spti"
"Spangolite","Spangolite","Cu6Al(SO4)(OH)12Cl·3H2O","Spg"
"Spencerite","Spencerite","Zn4(PO4)2(OH)2·3H2O","Scrt"
"Sperrylite","Sperrylite","PtAs2","Spy"
"Spertiniite","Spertiniite","Cu(OH)2","Sni"
"Spessartine","Spessartine","Mn2+3Al2(SiO4)3","Sps"
"Sphaerobertrandite","Sphaerobertrandite","Be3(SiO4)(OH)2","Sbtd"
"Sphaerobismoite","Sphaerobismoite","Bi2O3","Sbm"
"Sphalerite","Sphalerite","ZnS","Sp"
"Spheniscidite","Spheniscidite","(NH4)Fe3+2(PO4)2(OH)·2H2O","Snc"
"Spherocobaltite","Spherocobaltite","Co(CO3)","Scbt"
"Spinel","Spinel","MgAl2O4","Spl"
"Spionkopite","Spionkopite","Cu39S28","Spi"
"Spiridonovite","Spiridonovite","(Cu1-xAgx)2Te, (x≈0.4)","Srv"
"Spiroffite","Spiroffite","Mn2+2Te4+3O8","Spf"
"Spodumene","Spodumene","LiAlSi2O6","Spd"
"Spriggite","Spriggite","Pb3(UO2)6O8(OH)2·3H2O","Sgg"
"Springcreekite","Springcreekite","BaV3+3(PO4)(PO3OH)(OH)6","Sck"
"Spryite","Spryite","Ag8(As3+0.5As5+0.5)S6","Syi"
"Spurrite","Spurrite","Ca5(SiO4)2(CO3)","Spu"
"Srebrodolskite","Srebrodolskite","Ca2Fe3+2O5","Sre"
"Šreinite","Sreinite","Pb(UO2)4(BiO)3(PO4)2(OH)7·4H2O","Šrn"
"Srilankite","Srilankite","Ti2ZrO6","Sri"
"Stalderite","Stalderite","TlCu(Zn,Fe,Hg)2As2S6","Sld"
"Staněkite","Stanekite","Fe3+Mn2+O(PO4)","Stk"
"Stanfieldite","Stanfieldite","Ca4Mg5(PO4)6","Stf"
"Stangersite","Stangersite","SnGeS3","Sgs"
"Stanleyite","Stanleyite","V4+O(SO4)·6H2O","Stl"
"Stannite","Stannite","Cu2FeSnS4","Stn"
"Stannoidite","Stannoidite","Cu8(Fe,Zn)3Sn2S12","Sta"
"Stannopalladinite","Stannopalladinite","Pd3Sn2 (?)","Spdn"
"Starkeyite","Starkeyite","Mg(SO4)·4H2O","Ske"
"Staročeskéite","Staroceskeite","Ag0.70Pb1.60(Bi1.35Sb1.35)Σ2.70S6","Sčk"
"Starovaite","Starovaite","KCu5O(VO4)3","Sro"
"Staurolite","Staurolite","Fe2+2Al9Si4O23(OH)","St"
"Stavelotite-(La)","Stavelotite-(La)","La3Mn2+3Cu2+(Mn3+,Fe3+,Mn4+)26(Si2O7)6O30","Svt-La"
"Steacyite","Steacyite","K0.3(Na,Ca)2ThSi8O20","Scy"
"Steedeite","Steedeite","NaMn2[Si3BO9](OH)2","Sed"
"Steenstrupine-(Ce)","Steenstrupine-(Ce)","Na14Ce6Mn2+2Fe3+2Zr(PO4)7Si12O36(OH)2·3H2O","Ssp-Ce"
"Stefanweissite","Stefanweissite","(Ca,REE)2Zr2(Nb,Ti)(Ti,Nb)2Fe2+O14","Swi"
"Steigerite","Steigerite","Al(VO4)·3H2O","Sgr"
"Steinhardtite","Steinhardtite","Al","Shd"
"Steinmetzite","Steinmetzite","Zn2Fe3+(PO4)2(OH)·3H2O","Snm"
"Steklite","Steklite","KAl(SO4)2","Sek"
"Stellerite","Stellerite","Ca4(Si28Al8)O72·28H2O","Ste"
"Stenhuggarite","Stenhuggarite","CaFe3+Sb3+As3+2O7","Shu"
"Stenonite","Stenonite","Sr2Al(CO3)F5","Sten"
"Stepanovite","Stepanovite","NaMgFe3+(C2O4)3·9H2O","Stpn"
"Stephanite","Stephanite","Ag5SbS4","Sph"
"Štěpite","Stepite","U(AsO3OH)2·4H2O","Ště"
"Stercorite","Stercorite","(NH4)Na(PO3OH)·4H2O","Stc"
"Stergiouite","Stergiouite","CaZn2(AsO4)2·4H2O","Sgo"
"Sterlinghillite","Sterlinghillite","Mn2+3(AsO4)2·3H2O","Slg"
"Sternbergite","Sternbergite","AgFe2S3","Srn"
"Steropesite","Steropesite","Tl3BiCl6","Strp"
"Sterryite","Sterryite","Cu(Ag,Cu)3Pb19(Sb,As)22(As)2S56","Srr"
"Stetefeldtite","Stetefeldtite","Ag2Sb2(O,OH)7","Sf"
"Stetindite-(Ce)","Stetindite-(Ce)","Ce(SiO4)","Std-Ce"
"Steudelite","Steudelite","Na3(K17Ca7)Ca4(Al24Si24O96)(SO3)6F6·4H2O",""
"Stevensite","Stevensite","(Ca,Na)xMg3-ySi4O10(OH)2","Stv"
"Steverustite","Steverustite","Pb2+5(OH)5[Cu1+(S6+O3S2-)3](H2O)2","Svr"
"Stewartite","Stewartite","Mn2+Fe3+2(PO4)2(OH)2·8H2O","Stw"
"Stibarsen","Stibarsen","SbAs","Sbr"
"Stibiconite","Stibiconite","Sb3+Sb5+2O6(OH)","Sbc"
"Stibioclaudetite","Stibioclaudetite","AsSbO3","Scld"
"Stibiocolumbite","Stibiocolumbite","SbNbO4","Sclb"
"Stibiocolusite","Stibiocolusite","Cu13V(Sb,Sn,As)3S16","Sclu"
"Stibiogoldfieldite","Stibiogoldfieldite","Cu6Cu6(Sb2Te2)S13",""
"Stibiopalladinite","Stibiopalladinite","Pd5Sb2","Stpdn"
"Stibiotantalite","Stibiotantalite","Sb3+TaO4","Sttl"
"Stibivanite","Stibivanite","Sb3+2V4+O5","Stbv"
"Stibnite","Stibnite","Sb2S3","Sbn"
"Stichtite","Stichtite","Mg6Cr2(CO3)(OH)16·4H2O","Stt"
"Stilbite-Ca","Stilbite-Ca","NaCa4(Si27Al9)O72·28H2O","Stb-Ca"
"Stilbite-Na","Stilbite-Na","Na9(Si27Al9)O72·28H2O","Stb-Na"
"Stilleite","Stilleite","ZnSe","Sll"
"Stillwaterite","Stillwaterite","Pd8As3","Slw"
"Stillwellite-(Ce)","Stillwellite-(Ce)","CeBSiO5","Swl-Ce"
"Stilpnomelane","Stilpnomelane","(K,Ca,Na)(Fe,Mg,Al)8(Si,Al)12(O,OH)36·nH2O","Stp"
"Stishovite","Stishovite","SiO2","Sti"
"Stistaite","Stistaite","SnSb","Sst"
"Stöfflerite","Stofflerite","CaAl2Si2O8","Sff"
"Stoiberite","Stoiberite","Cu5O2(VO4)2","Sbe"
"Stokesite","Stokesite","CaSnSi3O9·2H2O","Sks"
"Stolperite","Stolperite","AlCu","Slp"
"Stolzite","Stolzite","Pb(WO4)","Sz"
"Stoppaniite","Stoppaniite","Fe3+2Be3Si6O18·H2O","Spp"
"Stottite","Stottite","Fe2+Ge(OH)6","Sto"
"Stracherite","Stracherite","BaCa6(SiO4)2[(PO4)(CO3)]F","Stra"
"Straczekite","Straczekite","(Ca,K,Ba)(V5+,V4+)8O20·3H2O","Szk"
"Strakhovite","Strakhovite","NaBa3(Mn2+,Mn3+)4[Si4O10(OH)2][Si2O7]O2·(F,OH)·H2O","Skhv"
"Stranskiite","Stranskiite","CuZn2(AsO4)2","Ssk"
"Strashimirite","Strashimirite","Cu4(AsO4)2(OH)2·2.5H2O","Ssh"
"Straßmannite","Strassmannite","Al(UO2)(SO4)2F·16H2O","Sßm"
"Strätlingite","Stratlingite","Ca2Al(Si,Al)2O2(OH)10·2.25H2O","Srä"
"Strelkinite","Strelkinite","Na2(UO2)2(VO4)2·6H2O","Slk"
"Strengite","Strengite","Fe3+(PO4)·2H2O","Stg"
"Stringhamite","Stringhamite","CaCu(SiO4)·H2O","Sgh"
"Stromeyerite","Stromeyerite","CuAgS","Smy"
"Stronadelphite","Stronadelphite","Sr5(PO4)3F","Sad"
"Stronalsite","Stronalsite","Na2SrAl4Si4O16","Sns"
"Strontianite","Strontianite","Sr(CO3)","Str"
"Strontioborite","Strontioborite","Sr[B8O11(OH)4]","Srbo"
"Strontiochevkinite","Strontiochevkinite","(Sr,Ce,La)4Fe2+(Ti,Zr)4O8(Si2O7)2","Scvk"
"Strontiodresserite","Strontiodresserite","SrAl2(CO3)2(OH)4·H2O","Sdrs"
"Strontiofluorite","Strontiofluorite","SrF2","Sflr"
"Strontioginorite","Strontioginorite","CaSrB14O20(OH)6·5H2O","Sgnr"
"Strontiohurlbutite","Strontiohurlbutite","SrBe2(PO4)2","Shrb"
"Strontiojoaquinite","Strontiojoaquinite","(Na,Fe)2Ba2Sr2Ti2(SiO3)8(O,OH)2·H2O","Sjq"
"Strontiomelane","Strontiomelane","Sr(Mn4+6Mn3+2)O16","Sml"
